"date","daily_EXO_fdom","daily_EXO_spCond","daily_EXO_do_mgL","daily_EXO_sal_psu","daily_EXO_depth","daily_EXO_pH","daily_EXO_chla_ugL","daily_EXO_Turbidity_NTU","daily_EXO_spCond_ZT","daily_EXO_do_mgL_ZT","daily_EXO_sal_psu_ZT","daily_EXO_pH_ZT","daily_EXO_chla_ugL_ZT","daily_EXO_Turbidity_NTU_ZT","Canal"
2023-06-18,114.971041666667,14460.8248958333,3.37052083333333,8.68208333333333,0.42446875,7.5665625,3.43072916666667,2.52760416666667,-0.58685371555983,-0.914903915244172,-0.585808848445423,0.344309656939242,-0.0963064845956775,-0.138299035131295,"Little_River"
2023-06-19,114.835729166667,16378.5629166667,3.20052083333333,9.89604166666667,0.42696875,7.555,3.08458333333333,2.11458333333333,-0.399556675537445,-1.05962102568181,-0.405667474248161,0.313358413397904,-0.281409821377475,-0.20410910169344,"Little_River"
2023-06-20,108.632291666667,18401.6225,2.9425,11.2430208333333,0.424552083333333,7.56833333333333,2.54104166666667,2.078125,-0.201973341614387,-1.27926825763894,-0.205786908798976,0.349049937481609,-0.572071636402278,-0.20991831311759,"Little_River"
2023-06-21,122.974895833333,12939.8752083333,3.57208333333333,7.67229166666667,0.419447916666667,7.54364583333333,3.185625,2.66791666666667,-0.735398183780748,-0.743318370699542,-0.735653578277949,0.282964849920377,-0.227377249400844,-0.115941870021785,"Little_River"
2023-06-22,116.951354166667,13505.4366666667,3.35541666666667,8.026875,0.424791666666667,7.53833333333333,3.0028125,2.27927083333333,-0.680162282971655,-0.927761746747517,-0.683036344901642,0.268744008293274,-0.325137212100831,-0.177868063803213,"Little_River"
2023-06-23,124.424791666667,12821.8555208333,2.650625,7.55489583333333,0.440958333333333,7.46916666666667,3.13125,2.005625,-0.746924647715333,-1.52773476710357,-0.753074148787672,0.0835942271090595,-0.256454571639815,-0.221470344978183,"Little_River"
2023-06-24,120.820520833333,14147.9902083333,3.150625,8.3940625,0.437802083333333,7.52552083333333,3.38572916666667,1.78520833333333,-0.617406903924744,-1.10209620699286,-0.628548757459961,0.23444668436909,-0.120370475414136,-0.256591177473895,"Little_River"
2023-06-25,120.237604166667,14336.6091666667,2.70635416666667,8.52979166666667,0.424260416666667,7.52489583333333,3.17666666666667,1.71854166666667,-0.598985319639427,-1.48029380259123,-0.608407671946058,0.232773644177668,-0.232167766091556,-0.267213735506625,"Little_River"
2023-06-26,117.649166666667,13437.4672916667,2.47916666666667,7.99364583333333,0.413125,7.510625,2.7434375,1.9425,-0.686800552960242,-1.67369332334154,-0.687967278346719,0.194572559806828,-0.463839381401666,-0.231528579615424,"Little_River"
2023-06-27,120.485729166667,12529.1954166667,2.54375,7.40395833333333,0.409208333333333,7.495625,2.800625,2.9925,-0.775507473235599,-1.61871500932724,-0.775472025157317,0.154419595212662,-0.433258059736542,-0.0642232905999327,"Little_River"
2023-06-28,117.941145833333,13510.1667708333,3.02447916666667,7.9759375,0.406,7.5175,2.96270833333333,2.81291666666667,-0.679700314496404,-1.20948126872079,-0.690595048521212,0.212976001912488,-0.346583129844132,-0.092837806300598,"Little_River"
2023-06-29,112.106041666667,15116.1917708333,3.70104166666667,9.00583333333333,0.4010625,7.5734375,3.5328125,2.1353125,-0.522846914587672,-0.633539092070989,-0.537767026667056,0.362713099044902,-0.0417168757945455,-0.200806150055139,"Little_River"
2023-06-30,107.24625,16714.3441666667,3.69260416666667,10.1075,0.406697916666667,7.61666666666667,3.40583333333333,2.4515625,-0.366762397311325,-0.640721742772857,-0.374288806870398,0.478431712285037,-0.10961966470126,-0.150415390387378,"Little_River"
