"date","daily_EXO_fdom","daily_EXO_spCond","daily_EXO_do_mgL","daily_EXO_sal_psu","daily_EXO_depth","daily_EXO_pH","daily_EXO_chla_ugL","daily_EXO_Turbidity_NTU","daily_EXO_spCond_ZT","daily_EXO_do_mgL_ZT","daily_EXO_sal_psu_ZT","daily_EXO_pH_ZT","daily_EXO_chla_ugL_ZT","daily_EXO_Turbidity_NTU_ZT"
2021-04-21,23.7731578947368,22529.1402105263,4.65042105263158,13.5521052631579,0.220315789473684,7.59157894736842,6.02315789473684,0,0.724644961871935,-0.279691446926162,0.718449429242275,0.400383308826861,-0.137671891387106,-0.244407074816912
2021-04-22,23.1427368421053,23639.7564210526,4.42389473684211,14.2925263157895,0.227505263157895,7.57663157894737,6.45778947368421,0,0.864097053943871,-0.45247407819181,0.866670489852661,0.362395881460298,-0.0409949916620085,-0.244407074816912
2021-04-23,22.4180208333333,25176.3427083333,4.77416666666667,15.3113541666667,0.23653125,7.619375,7.77041666666667,0,1.05703514577021,-0.185304652499873,1.07062436731157,0.471024541495753,0.250978103849691,-0.244407074816912
2021-04-24,22.076875,26225.9394791667,5.2284375,15.996875,0.208041666666667,7.65802083333333,8.08302083333333,0,1.18882546553809,0.161189791719659,1.20785523699855,0.569239541314892,0.320511941560413,-0.244407074816912
2021-04-25,22.5575,25824.0663541667,5.3975,15.724375,0.171854166666667,7.6509375,7.118125,0,1.13836514675508,0.290141977678912,1.1533048715372,0.551237870189013,0.105886170579269,-0.244407074816912
2021-04-26,22.8421875,26763.7033333333,5.26958333333333,16.3578125,0.190989583333333,7.64479166666667,6.8315625,0,1.25634860610946,0.192573718678319,1.28010944813142,0.535618773182733,0.0421448884925658,-0.244407074816912
2021-04-27,23.0502083333333,28116.549375,5.22833333333333,17.2658333333333,0.23259375,7.65447916666667,7.19229166666667,0,1.42621575641177,0.161110338740017,1.46188144191069,0.560238705751951,0.122383368996474,-0.244407074816912
2021-04-28,23.6708333333333,27057.1032291667,5.79177083333333,16.5480208333333,0.23621875,7.66791666666667,8.99739583333333,0,1.2931887214435,0.59087150562455,1.3181862705062,0.594388934799576,0.52390015463096,-0.244407074816912
2021-04-29,24.2660416666667,25078.1504166667,6.43583333333333,15.2251041666667,0.21825,7.68166666666667,10.1907291666667,0,1.04470584572175,1.08212927875213,1.05335842594995,0.629333355220401,0.789338223545997,-0.244407074816912
2021-04-30,24.7115625,22345.6125,5.7840625,13.4202083333333,0.2080625,7.6090625,6.488125,0,0.701600706850716,0.584991985131029,0.692045665113248,0.444816226180136,-0.0342473350769939,-0.244407074816912
2021-05-01,24.7151041666667,21348.64625,5.156875,12.7684375,0.187270833333333,7.55333333333333,5.48739583333333,0,0.576418823163166,0.106605594705484,0.561571033350379,0.3031854312927,-0.256843662596788,-0.244407074816912
2021-05-02,24.149375,21139.3640625,5.82125,12.6282291666667,0.176270833333333,7.59458333333333,8.62708333333333,0,0.550140763646606,0.613356698863286,0.533503452344654,0.408018692555175,0.441530013657413,-0.244407074816912
2021-05-03,24.1363541666667,20944.890625,6.78041666666667,12.4970833333333,0.172447916666667,7.656875,10.744375,0,0.52572213239059,1.34495973540845,0.50725004633707,0.566327506279823,0.912487956112637,-0.244407074816912
2021-05-04,23.4814583333333,21492.2342708333,7.27125,12.8513541666667,0.17075,7.7053125,9.74864583333333,0,0.594448138521518,1.71934217548238,0.578169691954062,0.68942716912591,0.691003799272655,-0.244407074816912
