"Date","Year","Canal","Discharge"
2021-09-12,"2021","Coral_Gables",0
2021-09-13,"2021","Coral_Gables",0
2021-09-14,"2021","Coral_Gables",0
2021-09-15,"2021","Coral_Gables",0
2021-09-16,"2021","Coral_Gables",0
2021-09-17,"2021","Coral_Gables",0
2021-09-18,"2021","Coral_Gables",0
2021-09-19,"2021","Coral_Gables",0
2021-09-20,"2021","Coral_Gables",0
2021-09-21,"2021","Coral_Gables",0
2021-09-22,"2021","Coral_Gables",0
2021-09-23,"2021","Coral_Gables",0
2021-09-24,"2021","Coral_Gables",63.638963963964
2021-09-25,"2021","Coral_Gables",83.9369714285714
2021-09-26,"2021","Coral_Gables",47.5354474708172
2021-09-27,"2021","Coral_Gables",0
2021-09-28,"2021","Coral_Gables",0
2021-09-29,"2021","Coral_Gables",0
2021-09-30,"2021","Coral_Gables",0
2021-10-01,"2021","Coral_Gables",0
2021-10-02,"2021","Coral_Gables",0
2021-10-03,"2021","Coral_Gables",0
2021-10-04,"2021","Coral_Gables",0
2021-10-05,"2021","Coral_Gables",0
2021-10-06,"2021","Coral_Gables",0
2021-10-07,"2021","Coral_Gables",0
2021-10-08,"2021","Coral_Gables",0
2021-10-09,"2021","Coral_Gables",0
2021-10-10,"2021","Coral_Gables",0
2021-10-11,"2021","Coral_Gables",0
2021-10-12,"2021","Coral_Gables",0
2021-10-13,"2021","Coral_Gables",0
2021-10-14,"2021","Coral_Gables",0
2021-10-15,"2021","Coral_Gables",0
2021-10-16,"2021","Coral_Gables",0
2021-10-17,"2021","Coral_Gables",0
2021-10-18,"2021","Coral_Gables",0
2021-10-19,"2021","Coral_Gables",0
2021-10-20,"2021","Coral_Gables",0
2021-10-21,"2021","Coral_Gables",0
2021-10-22,"2021","Coral_Gables",0
2021-10-23,"2021","Coral_Gables",0
2021-10-24,"2021","Coral_Gables",0
2021-10-25,"2021","Coral_Gables",0
2021-10-26,"2021","Coral_Gables",0
2021-10-27,"2021","Coral_Gables",0
2021-10-28,"2021","Coral_Gables",0
2021-10-29,"2021","Coral_Gables",0
2021-10-30,"2021","Coral_Gables",0
2021-10-31,"2021","Coral_Gables",0
2021-11-01,"2021","Coral_Gables",0
2021-11-02,"2021","Coral_Gables",0
2021-11-03,"2021","Coral_Gables",0
2021-11-04,"2021","Coral_Gables",0
2021-11-05,"2021","Coral_Gables",78.8950126903554
2021-11-06,"2021","Coral_Gables",56.8089589665655
2021-11-07,"2021","Coral_Gables",0
2021-11-08,"2021","Coral_Gables",-0.060450581395349
2021-11-09,"2021","Coral_Gables",-0.218675889328064
2021-11-10,"2021","Coral_Gables",-0.302877263581489
2021-11-11,"2021","Coral_Gables",-0.137777777777778
2021-11-12,"2021","Coral_Gables",0
2021-11-13,"2021","Coral_Gables",0
2021-11-14,"2021","Coral_Gables",0
2021-11-15,"2021","Coral_Gables",0
2021-11-16,"2021","Coral_Gables",0
2021-11-17,"2021","Coral_Gables",54.8861262798634
2021-11-18,"2021","Coral_Gables",56.6896474358975
2021-11-19,"2021","Coral_Gables",48.2359090909091
2021-11-20,"2021","Coral_Gables",50.386339869281
2021-11-21,"2021","Coral_Gables",70.6391704374057
2021-11-22,"2021","Coral_Gables",49.3722704507514
2021-11-23,"2021","Coral_Gables",0
2021-11-24,"2021","Coral_Gables",0
2021-11-25,"2021","Coral_Gables",0
2021-11-26,"2021","Coral_Gables",0
2021-11-27,"2021","Coral_Gables",0
2021-11-28,"2021","Coral_Gables",0
2021-11-29,"2021","Coral_Gables",0
2021-11-30,"2021","Coral_Gables",0
2021-12-01,"2021","Coral_Gables",0
2021-12-02,"2021","Coral_Gables",0
